author,comment,time,likes,clean_comment
@IAM_SORRYGUYS,Gembiranya wakil rakyat menari2 diatas penderitaan rakyat,2 bulan yang lalu,0,gembiranya wakil rakyat menari diatas penderitaan rakyat
@abunizar5668,Menang karena Joged Lengser juga karena Joged...,3 bulan yang lalu,0,menang joged lengser joged
@MadeSuadnyana-zw6kx,Bubarkan saja DPR dan miskinkan saja koruptor di negeri ini,2 bulan yang lalu,0,bubarkan dpr miskinkan koruptor negeri
@SarwonodandungBandot-p3k,Janganlah bersenang-senang diatas penderitaan rakyat itulah wakil rakyat yang tidak amanat😂😂😂😂😂😂😂❤,2 bulan yang lalu,0,janganlah bersenangsenang diatas penderitaan rakyat wakil rakyat amanat
@LisdonGultom,"Tangkap itu anggota dewan yang joget2 di tengah penderitaan rakyat, karena sudah menimbulkan gejolak dan kerusuhan dimana mana",2 bulan yang lalu,0,tangkap anggota dewan joget tengah penderitaan rakyat menimbulkan gejolak kerusuhan mana
@jajakahc546,"DPR bukan wakil rakyat,tapi kumpulan orang2 yang hanya memikirkan keluarga kelompok dan partai mereka masing2 saja",2 bulan yang lalu,0,dpr bukan wakil rakyattapi kumpulan orang memikirkan keluarga kelompok partai masing
@singkonggoreng1330,"Artis jadi DPR itu hanya untuk mendukung hidup glamournya.mana mau mereka mikir rakyat,yg ada mikir diri sendiri.",2 bulan yang lalu,0,artis jadi dpr mendukung hidup glamournyamana mau mikir rakyatyg mikir diri sendiri
@RUSLIMAYPUTRA,Terima kasih kepada mahasiswa dan para buruh dan masyarakat yg mau menyuarakan kebenaran 🙏🙏🙏🙏,2 bulan yang lalu,0,terima kasih mahasiswa buruh masyarakat yg mau menyuarakan kebenaran
@diashilmi9673,itulah kalo anggota DPR dari artis tidak tau menahu  penderitaan rakyat malah joget yg dipikirin..sekarang terbukti rakyat marah..,2 bulan yang lalu,0,kalo anggota dpr artis tau menahu penderitaan rakyat malah joget yg dipikirinsekarang terbukti rakyat marah
@Saharowi,Inilah akibat memilih wakil rakyat dari kalangan selebritis dan komedian,3 bulan yang lalu,0,inilah akibat memilih wakil rakyat kalangan selebritis komedian
@MH26nur,"Mereka bukan mewakili rakyat, tp mewakili parpol.",2 bulan yang lalu,0,bukan mewakili rakyat tp mewakili parpol
@bluerain4241,Tiba waktunya rakyat Indonesia bangkit!!,2 bulan yang lalu,0,tiba waktunya rakyat indonesia bangkit
@RChannelst,"Rakyat lagi susah cari kerja, mereka malah joged joged",2 bulan yang lalu,0,rakyat susah cari kerja malah joged joged
@fay1048,"Harusnya gaji guru, gaji buruh yg di naikan.. bukn gaji anggota DPR yg belum becus benahi urusan rakyat!! 🤬",2 bulan yang lalu (diedit),0,harusnya gaji guru gaji buruh yg naikan bukn gaji anggota dpr yg becus benahi urusan rakyat
@dreimarsch388,"Bersenang-senang di atas penderitaan rakyat, tunggu dan rasakan akibatnya.",2 bulan yang lalu,0,bersenangsenang atas penderitaan rakyat tunggu rasakan akibatnya
@CakenPais,Ingat kedapan jangan pilih lagi wakil rakyat''mereka hanya mementikan pribadi dan keluarga mereka,2 bulan yang lalu,0,ingat kedapan jangan pilih wakil rakyatmereka mementikan pribadi keluarga
@PapahAi-g8n,Misi anggota DPR :MEMPERKAYA DIRI & KELOMPOKNYA 😡,2 bulan yang lalu,0,misi anggota dpr memperkaya diri kelompoknya
@msoleh848,"Phk di mana2 cari kerja susah ekonomi rakyat sedang sulit pajak naik gila2an wakil rakyat malah joget2 di atas penderitaan rakyat.
gubarkan DPR.hidup rakyat hidup mahasiswa.✊✊✊",3 bulan yang lalu,0,phk mana cari kerja susah ekonomi rakyat sedang sulit pajak naik gilaan wakil rakyat malah joget atas penderitaan rakyat gubarkan dprhidup rakyat hidup mahasiswa
@inspirasiviko,Bener kata Gud Dur 20 tahunan lebih yang lalu. DPR / MPR cuman taman kanak kanak,2 bulan yang lalu,0,bener kata gud dur tahunan lebih lalu dpr mpr cuman taman kanak kanak
@tomastomas533,wajah berseri naik gaji dan tarian joget,2 bulan yang lalu,0,wajah berseri naik gaji tarian joget
@MuhammadZulkifli-ml5ef,AKIBAT RAKYAT MENERIMA SOGOKAN WAKTU PEMILIHAN😂😂😂,2 bulan yang lalu,0,akibat rakyat menerima sogokan waktu pemilihan
@geraldoghozaly3072,"dgan terjadinya demo atas ulah jogetnya, beranikah mereka bertanggung jawab",2 bulan yang lalu,0,dgan terjadinya demo atas ulah jogetnya beranikah bertanggung jawab
@sitikhomsiah1431,Anggota DPR enghisap darah rakyat😡,2 bulan yang lalu,0,anggota dpr enghisap darah rakyat
@lusiyuni-vh2qh,tanggung jawab lo DPR,2 bulan yang lalu,0,tanggung jawab lo dpr
@suhartoyo7002,"Tarian yang menyakiti hati rakyat, mana hati nuranimu hai yang katanya terhormat?",2 bulan yang lalu,0,tarian menyakiti hati rakyat mana hati nuranimu hai katanya terhormat
@ehsan-rilby,Dar dan smuanya kan suka joged2 😢...ok gass...ok gass,2 bulan yang lalu,0,dar smuanya kan suka joged gassok gass
@Unknown327xysf,"Dia belahan jiwa, tega menari indah diatas deritaku... Mencoba bertahan sekuaaaat hati, layaknya karang yg dihempas sang ombak. Jalani hidup dalam buai belaka",2 bulan yang lalu,0,belahan jiwa tega menari indah diatas deritaku mencoba bertahan sekuaaaat hati layaknya karang yg dihempas sang ombak jalani hidup buai belaka
